arquitetura,cenario,tensao_maxima_barras_pv_dia_pu,tensao_maxima_rede_dia_pu,horas_com_violacao_barras_pv,energia_disponivel_kwh,energia_cortada_kwh,curtailment_percentual_dia,sigma_r_diario_por_energia,tensao_maxima_barras_pv_hora_pico_pu,curtailment_percentual_816,curtailment_percentual_824,curtailment_percentual_828,curtailment_percentual_830,curtailment_percentual_832,curtailment_percentual_850,horas_com_controle_ativo,horas_nao_convergidas,iteracoes_totais_no_dia,horas_com_consenso_satisfeito,erro_consenso_global_hora_pico,consenso_satisfeito_hora_pico,iteracoes_hora_pico,status_hora_pico,sigma_r_global_hora_pico,sigma_r_por_particao_hora_pico,barras_hora_com_sobretensao_no_dia,barras_hora_com_subtensao_no_dia
leaderless,C1,1.0504996215540174,1.050797688513331,0,4573.61758763851,1905.138355037646,41.654955153811265,0.016547532425672546,1.0504889674692404,44.35632176142532,42.873799541568594,41.52965073877313,40.61885294233689,39.426692775549526,40.354698314411586,8.0,0.0,537.0,16.0,0.023715580414561326,False,55.0,convergiu,0.023715534159603577,[0.023716],51,85
leaderless,C2,1.0504998956697011,1.0507974619454468,0,4573.6174432495345,1908.4696386459746,41.727793422311585,0.1175041728691606,1.0504882848552968,67.71673734188074,36.10453074381736,35.94920058976348,36.10442260094244,36.25180499332855,36.544572320607784,8.0,0.0,524.0,16.0,0.11847210607503832,False,52.0,convergiu,0.11847206300074982,"[0.0, 0.002058]",51,85
leaderless,C3_lider_curta,1.0504977861724873,1.0507967743424314,0,4573.617596475569,1905.0489677435448,41.65300066213616,0.006705780278398107,1.0504839425460843,42.98863163527568,41.8063793288494,41.205866779504944,41.134969450684416,41.00061995223799,41.621009150609325,8.0,0.0,530.0,16.0,0.008129343255192512,False,54.0,convergiu,0.008129308747659261,[0.008129],50,85
leaderless,C3_lider_longa,1.0504977861724873,1.0507967743424314,0,4573.617547859717,1905.390246819043,41.660463011619655,0.02317812543437683,1.050488284844397,46.750606310644066,40.916100254128736,40.39651264410018,40.369373102106785,40.29204464813227,40.84926192714477,8.0,0.0,528.0,16.0,0.11847209771057311,False,52.0,convergiu,0.11847205463629466,"[0.0, 0.002058]",50,85
leaderless,C3_naolider_curta,1.0504977861724873,1.0507967743424314,0,4573.617596573005,1905.082891002489,41.65374237736799,0.006851787893458249,1.0504831653567683,43.015645876032956,41.816916584031745,41.21445548792684,41.13419139940467,40.96437787440543,41.6096688176922,8.0,0.0,530.0,16.0,0.009168142541440393,False,54.0,convergiu,0.00916810379879375,[0.009168],50,85
leaderless,C3_naolider_longa,1.0504977861724873,1.0507967743424314,0,4573.617538313639,1906.8467921875501,41.69230977915642,0.03535477284570548,1.050494724391692,44.371893257114706,43.2308062187054,42.62929583270035,42.58577223182667,33.8330180371412,43.11729345806375,8.0,0.0,528.0,16.0,0.21382597090590996,False,52.0,convergiu,0.21382585087433914,"[0.006598, 0.0]",50,85
leaderless,C0,1.0504974389982733,1.0507978401993958,0,4573.6175945323785,1905.0301418595377,41.65258906072391,0.0061354579072981485,1.0504914356146176,42.891482520975785,41.756683797900976,41.19171090694108,41.14611181936824,41.15571088370813,41.63697946557103,8.0,0.0,717.0,16.0,0.0070355919070013385,False,73.0,convergiu,0.007035570092927308,[0.007036],50,85
leaderless,C0_perda_0.05,1.0504971134159584,1.050797721679297,0,4573.61758717317,1904.6758613446586,41.64484295071743,0.006141753693381687,1.0504966890528045,42.88496763910803,41.748006925432094,41.182244244011784,41.137660539211,41.148454251853565,41.63137944930098,8.0,0.0,726.0,16.0,0.007105889104117117,False,74.0,convergiu,0.007105867071771023,[0.007106],50,85
leaderless,C0_perda_0.10,1.0504999775582753,1.0507987635540048,0,4573.617576731005,1904.0021451551534,41.630112557771824,0.006166318340080054,1.0504992849469652,42.876285051613486,41.73420985983162,41.165562747334626,41.119401223105214,41.136351864584825,41.61060099995093,8.0,0.0,735.0,16.0,0.007082640458827953,False,75.0,convergiu,0.007082619445286571,[0.007083],53,85
leaderless,C0_perda_0.20,1.0504976146221043,1.050797904512319,0,4573.617587296855,1904.6007297114356,41.64320023172535,0.006114448213999201,1.0504894736817383,42.881124119704715,41.74696724152208,41.18703859537098,41.13563942498951,41.156842513080356,41.612365220717315,8.0,0.0,763.0,16.0,0.006871115725480589,False,79.0,convergiu,0.006871097907442941,[0.006871],50,85
